Province,GI6_TEHSIL
GB,Ganchi
GB,Ghizer
GB,Skardu
KPK,Alpuri
KPK,Bisham
KPK,Charsadda
KPK,DI Khan
KPK,Kulachi
KPK,Matta
KPK,Noshera
KPK,Pahar Pur
KPK,Paroa
KPK,Peshawar
KPK,Pubbi
KPK,Shabqader
KPK,Swat
KPK,Tanggi
KPK,Tank
KPK,Upper Dir
KPK,Wari
Punjab,Ahmad Pur Sayal
Punjab,Alipur
Punjab,DG Khan
Punjab,Jampur
Punjab,Jattoi
Punjab,Jhang
Punjab,Khanpur
Punjab,Kot Addu
Punjab,Layyah
Punjab,Mian Wali
Punjab,Multan
Punjab,Muzaffargarh
Punjab,Piplan
Punjab,Rajanpur
Punjab,Rujhan
Punjab,RY Khan
Punjab,Tonsa
Punjab,Tribal Area
Sindh,GAMBAT TALUKA
Sindh,GARHI YASIN TALUKA
Sindh,GHORABARI TALUKA
Sindh,JATI TALUKA
Sindh,KHAIRPUR TALUKA
Sindh,KHANPUR TALUKA
Sindh,LAKHI TALUKA
Sindh,MIRPUR BATHORO TALUKA
Sindh,Not in list
Sindh,SHIKARPUR TALUKA
Sindh,SOBHO DERO TALUKA
Sindh,SUJAWAL TALUKA
Sindh,THATTA TALUKA
