AddBleach,AddWater,AgriID,AnyFishingEqupment,AnyFishorCrabPonds,AnyoneLiveingInYourDewilling,AnyOneReceivedItems,AnyOneToCultivateCrops,avoideFlooding,Barrels,Barrels1,Barrels2,Barrels3,BarrelsOther,BarrelsOther1,BarrelsOther2,BarrelsOther3,BarrelsWood,BarrelsWood1,BarrelsWood2,BarrelsWood3,Boil,BorrowCredit,BorrowingFood,Buckets,Buckets1,Buckets2,Buckets3,Buffalo,Buffalo1,Cattle,Cattle1,Cereal,Chickens,Chickens1,ChildPassedStool,ChoseFood,ChoseLess,ClayPots,ClayPots1,ClayPots2,ClayPots3,Construction,ConstructionID,CrabPonds,CrabPonds1,DarkGreen,DoesYourHouseHaveGardnnow,Donkeys,Donkeys1,donnotknow,DoyouConsider,DoyouConsider1,DoyouConsider10,DoyouConsider11,DoyouConsider12,DoyouConsider13,DoyouConsider14,DoyouConsider15,DoyouConsider16,DoyouConsider17,DoyouConsider18,DoyouConsider19,DoyouConsider2,DoyouConsider20,DoyouConsider3,DoyouConsider4,DoyouConsider5,DoyouConsider6,DoyouConsider7,DoyouConsider8,DoyouConsider9,DoYouUseNearest,DrinkingWatherInCompound,Ducks,Ducks1,DwellingIsBetter,DwellingOwnedByMem,DwellingPriorNargis,DwellingWhereHHlives,EatFewer,EatLess,EatOutSide,Egg,ExchangeItems,ExchangeWork,FaithBased,FeelSave,Fish,FishingNets,FishingNets1,FishPonds,FishPonds1,fleshMeat,FloorMaterial,FoodForWork,FoodId,GiftFromFamily,Goats,Goats1,GoodsId,GotSupport,GovernamentFood,HealthId,HHhasAnotherHouse,HotterThanBefore,HouseOption1,HouseOption2,HouseOption3,HouseOption4,HouseOption5,HowLongDoesItTake,HowLongDoesItTakeToHosp,HowManyHHShared,HowManyRooms,HowOftenMedicineAvalable,IfReducationMainReason1,IfReducationMainReason2,IfReducationMainReason24,IfReducationMainReason25,IfReducationMainReason26,IfReducationMainReason27,IfReducationMainReason3,IfReducationMainReason4,IfReducationMainReason5,IfReducationMainReason6,IfReducationMainReason7,IfReducationMainReason8,IfReducationMainReason9,IfReductionMainReason,IfReductionMainReason1,IfReductionReason,IfReductionReason1,IfReductionReason2,Inshore,Inshore1,JerryCan,JerryCan1,JerryCan2,JerryCan3,LegumesNutsSeeds,LessthanEnough,LetItStand,LiveStockNowOrHad,LocalNGO,LocalOrgWorking,MajorCosnt,MakeWaterSafe,MethodeOfWaste,MethodeOfWaste1,MethodeOfWaste2,Milk,MilkCows,MilkCows1,MonsoonPaddy,MonsoonPaddy1,MoreCrowded,NeedImprovment,NeedsID,OfficialHealthWorkerInVillage,Offshore,Offshore1,OftenHishappen,Oils,Option20,Option21,OrganMeat,Other,Other1,Other2,Other3,OtherBoats,OtherBoats1,OtherFood,OtherFruits,OtherMethod,OtherVeg,OwnProduction,Past7daysSnacks,PerennialPaddy,PerennialPaddy1,Pigs,Pigs1,Preharvist,PriorNargis,PriorNargis44,PriorNargis45,PriorNargis46,PriorNargis47,PriorNargis48,PriorNargis49,PriorNargis50,PriorNargis51,PriorNargis52,PriorNargis53,PriorNargis54,PriorNargis55,PriorNargis56,PriorNargis57,PriorNargis58,PriorNargis59,PriorNargis60,PriorNargis61,PriorNargis62,PriorNargis63,Purchases,RainySeason,ReasonToNotUseNearest,ReliefID,RepairsDewlling,ResponsibilityForFatching,RiverBoats,RiverBoats1,RoofMaterial,ShareThisFacilityWithOther,SizeOfCurrentGarden,SizeOfCurrentGarden1,SoapBarinHH,SolarDisinfection,SomeMembers,Spices,Strain,StrongestHouse,SummerPaddy,SummerPaddy1,Sweets,tblagriculture_StatisticID,tblconstruction_StatisticID,tblfood_StatisticId,tblgoods_Option1,tblgoods_Option10,tblgoods_Option11,tblgoods_Option12,tblgoods_Option13,tblgoods_Option14,tblgoods_Option15,tblgoods_Option16,tblgoods_Option17,tblgoods_Option18,tblgoods_Option19,tblgoods_Option2,tblgoods_Option3,tblgoods_Option4,tblgoods_Option5,tblgoods_Option6,tblgoods_Option7,tblgoods_Option8,tblgoods_Option9,tblgoods_StatisticID,tblhealth_StatisticID,tblNeeds_Option1,tblNeeds_Option10,tblNeeds_Option11,tblNeeds_Option12,tblNeeds_Option13,tblNeeds_Option14,tblNeeds_Option15,tblNeeds_Option16,tblNeeds_Option17,tblNeeds_Option18,tblNeeds_Option19,tblNeeds_Option2,tblNeeds_Option3,tblNeeds_Option4,tblNeeds_Option5,tblNeeds_Option6,tblNeeds_Option7,tblNeeds_Option8,tblNeeds_Option9,tblNeeds_StatisticID,tblRelief_StatisticID,tblWater_StatisticID,ThreeSourceOfIncome,ThreeSourceOfIncome1,ThreeSourceOfIncome2,TinCan,TinCan1,TinCan2,TinCan3,ToiletFacility,TypeOfDwelling,uId,UNINGO,UseWaterFilter,VitaminA,VitaminAFruit,WaitBeingSeenByDoctor,WantToReturn,WasdwellinglivedOwnedPrior,WashHandsBeforePrepFood,WaterID,WaterMainSource,WaterSource,WereThreeSourceOfIncome,WereThreeSourceOfIncome1,WereThreeSourceOfIncome2,WhatKindOfItem1,WhatKindOfItem11,WhatKindOfItem12,WhatKindOfItem2,WhatKindOfItem21,WhatKindOfItem22,WhatKindOfItem3,WhatKindOfItem31,WhatKindOfItem32,WhatKindOfItem4,WhatKindOfItem41,WhatKindOfItem42,WhatKindOfItem421,WhatKindOfItem5,WhatKindOfItem51,WhatKindOfItem52,WhatKindOfItem521,WhatKindOfItem6,WhatKindOfItem61,WhatKindOfItem62,WhatKindOfItem7,WhatWasTheSize,WhatWasTheSize1,WhenWasTheLastTime,WhiteTubers,YouCanGoInABigStorm,YouLivedBefore
1,1,5013,2,2,1,1,,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,,,,0,0,0.00,0.00,0.00,0.00,1,2685,,,0,2,,,,0,1,0,0,0,1,0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,2,,,3,1,1,1,0,1,2,2,,2,,1,0,,,,,0,,,2652,,,,5045,0,,2649,2,1,2,2,1,1,2,45,90,,,1,,,,,,,,,,,,,,,,,,,,,1.00,1.00,0.00,25.00,2,2,1,2,,0,1,1,,,3,0,,,,,1,1,2631,1,,,0,7,1,1,0,0.00,0.00,0.00,0.00,,,3,0,,0,,2,,,,,,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,1,2,,2686,1,2,,,2,2,,,1,2,1,0,1,,,,3,6,6,6,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,6,6,2,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,6,6,6,1,8,,0.00,0.00,0.00,0.00,3,1,074-22,1,2,0,0,20,,,1,2759,12,13,11,8,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,,,1,2,2,
1,1,5200,2,2,1,1,2,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,,,,0,0,5.00,1.00,0.00,203.00,8,2884,,,0,2,,,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,2,2,,,3,1,1,1,0,0,1,2,,2,,1,3,,,,,0,2,,2839,,,,5232,0,,2836,2,1,2,2,2,1,1,15,30,,1,2,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0,2,2,2,,1,1,1,1,,2,0,,,,,1,1,2818,1,,,0,7,1,1,0,0.00,0.00,0.00,0.00,,,,1,2,0,,3,,,,,,1,1,1,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,9,2873,1,1,,,1,2,,,1,2,,7,1,,,,3,259,259,259,1,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,259,259,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,259,259,259,13,14,,0.00,0.00,0.00,0.00,3,1,065-04,3,2,0,1,,,,1,2946,12,9,13,14,,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,,,1,2,2,
1,1,5215,2,2,1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,,,9,0,0,6.00,0.00,0.00,50.00,4,2900,,,7,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,,,2,1,1,1,0,0,1,3,,,,1,7,,,,,5,2,,2854,,,,5247,0,,2851,2,2,2,1,1,1,1,3,30,,1,1,,,,,,,,,,,,,1,,,,,,,,0.00,0.00,0.00,0.00,7,2,1,1,3,1,2,1,8,,,7,,,,,2,2,2833,1,,,0,0,1,1,2,0.00,0.00,0.00,0.00,,,,5,2,5,,2,,,0,6,,1,1,1,1,1,1,1,0,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,,2888,1,2,,,6,2,,,1,2,,7,1,,,,7,280,280,280,1,0,1,1,0,0,0,1,0,1,0,1,1,1,1,1,1,0,1,280,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,280,280,280,11,,,0.00,0.00,0.00,0.00,8,1,065-07,2,2,2,5,5,,,1,2961,5,5,11,,,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,1,1,0,0,,,1,0,1,
1,1,5220,2,2,2,1,2,1,2.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,,,,0,0,0.00,0.00,0.00,0.00,4,2905,,,7,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,3,1,2,1,0,0,1,1,,,,1,7,,,,,2,2,,2859,,,,5252,0,,2856,2,1,2,2,2,1,2,1,50,4,1,3,,,,,,,,,,,,,1,,,,,,,,0.00,0.00,0.00,0.00,2,2,1,1,3,1,,1,8,,,0,,,,,1,1,2838,1,,,0,0,1,1,0,1.00,0.00,0.00,30.00,,,,2,2,7,,2,,,1,2,,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,9,2893,1,1,,,1,1,,,2,2,,7,1,,,,5,286,286,286,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,286,286,0,0,0,3,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,286,286,286,11,8,,0.00,0.00,0.00,0.00,3,1,065-08,2,2,3,2,8,2,2,,2966,7,7,11,,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,,,1,4,2,2
1,1,5224,2,2,1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,1.00,1.00,0.00,25.00,,,,,7,,,9,0,0,0.00,0.00,0.00,0.00,8,2909,,,0,2,,,,0,0,0,0,0,1,1,1,0,1,1,0,1,0,1,0,1,1,1,0,0,1,2,,,3,1,1,1,0,0,1,0,,3,,1,7,,,,,2,2,,2863,,,,5256,0,,2860,2,1,2,2,2,1,1,20,30,5,0,1,,,,,,,,,,,,,2,,,,,,,,0.00,0.00,0.00,0.00,0,2,1,1,,1,1,1,8,,,0,,,,,1,1,2842,1,,,0,7,1,1,0,0.00,0.00,0.00,0.00,,,,7,2,5,,3,,,0,3,,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,2,,2897,1,2,,,1,1,,,1,2,,7,1,,,,0,291,291,291,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,291,291,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,291,291,291,8,,,0.00,0.00,0.00,0.00,10,1,065-09,2,1,2,0,30,,,1,2970,12,13,8,,,0,1,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,,,1,0,2,
1,1,5227,2,2,2,1,1,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,,,9,0,0,8.00,8.00,0.00,50.00,4,2912,,,5,2,,,,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,2,,,3,1,1,1,0,0,2,3,,,,1,7,,,,,0,2,,2866,,,,5259,0,,2863,2,1,2,2,2,1,1,5,30,2,1,1,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,4,1,1,2,,1,1,1,5,,,0,,,37.00,37.00,1,1,2845,1,,,0,7,1,1,0,0.00,0.00,0.00,0.00,,,,3,2,2,1,3,,,,,,1,1,1,1,0,0,0,1,1,0,0,1,0,0,0,1,0,1,0,1,1,2,1,,2900,1,1,,,1,1,,,1,2,,2,1,,,,2,295,295,295,1,0,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,1,1,295,295,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,295,295,295,2,,,0.00,0.00,0.00,0.00,11,1,065-10,3,1,0,0,15,,,1,2973,12,9,2,,,1,1,1,0,1,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,1,,,1,3,2,
1,1,5232,2,2,1,1,2,1,2.00,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,,,9,0,0,3.00,3.00,0.00,50.00,8,2917,,,2,2,,,,0,0,1,0,0,1,0,1,1,1,1,0,1,0,0,1,1,1,0,0,0,1,2,,,3,1,1,1,0,0,2,4,,,,1,7,,,,,0,2,,2871,,,,5264,0,,2868,2,1,2,2,1,1,1,5,30,,1,1,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,3,2,1,2,,1,2,1,8,,,0,,,,,2,2,2850,1,,,0,7,1,1,0,0.00,0.00,0.00,0.00,,,,1,2,3,,3,,,,,,1,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,,2905,1,2,,,1,2,,,1,1,,7,1,,,,7,300,300,300,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,1,300,300,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,300,300,300,8,13,11,0.00,0.00,0.00,0.00,10,1,065-11,2,1,0,0,20,,,1,2978,12,13,8,13,11,0,0,1,0,0,1,0,1,1,0,0,0,1,0,1,0,0,0,1,0,0,,,1,1,1,
1,1,5236,2,2,1,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,0,50,9,0,0,1.00,1.00,0.00,50.00,8,2921,,,2,2,,,,0,0,1,0,0,1,1,1,0,1,0,0,1,0,1,0,1,1,1,0,0,1,2,,,3,1,1,1,0,0,2,2,,,,1,7,,,,,3,2,,2875,,,,5268,0,,2872,2,1,2,2,1,1,1,10,30,5,1,1,1,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,0,2,1,1,,1,1,1,8,,,0,,,,,1,1,2854,1,,,0,7,1,1,0,0.00,0.00,0.00,0.00,,,,0,2,7,,3,,,1,0,,0,1,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,1,1,2,,2909,1,2,,,1,1,,,1,1,,7,1,,,,0,305,305,305,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,305,305,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,305,305,305,8,11,,0.00,0.00,0.00,0.00,10,1,065-12,2,1,0,0,15,,,1,2982,12,13,1,11,,0,1,1,0,1,1,0,1,0,0,0,0,1,0,1,0,0,1,1,0,0,,,1,1,2,
1,1,5250,2,2,2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2,2,0,0.00,0.00,0.00,0.00,,,,,7,,,,0,0,2.00,0.00,0.00,50.00,8,2936,,,2,2,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,,,3,1,1,1,0,0,2,3,,,,1,5,,,,,2,2,,2889,,,,5282,0,,2886,2,2,1,2,2,1,1,5,60,4,1,3,,,,,,,,,,,,,,,,,,,,,0.00,0.00,0.00,0.00,2,2,1,2,,1,2,1,8,,,2,,,,,2,1,2868,1,,,0,0,1,1,0,0.00,0.00,0.00,0.00,,,,2,2,7,,4,,,,,,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,9,2923,1,1,,,6,1,,,2,2,,2,1,,,,0,323,323,323,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,1,323,323,0,2,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,323,323,323,8,,,0.00,0.00,0.00,0.00,3,1,065-14,3,2,0,0,5,,,,2996,6,6,8,,,0,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,,,1,2,2,
1,1,5263,2,2,1,1,1,2,2.00,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,,0,0.00,0.00,0.00,0.00,,,,,7,0,4,3,0,0,1.00,0.00,0.00,55.00,1,2949,,,3,2,,,,0,1,0,0,0,1,1,1,0,1,1,1,0,1,0,0,1,1,1,1,0,1,2,,,3,1,1,1,0,0,1,1,,,,1,5,,,,,4,2,,2902,,,,5295,0,3,2899,2,1,2,2,1,1,1,10,5,,0,2,1,,,,,,,1,,,,,1,,,1,,,,,0.00,0.00,0.00,0.00,1,2,2,1,,1,1,1,8,,1,0,2.00,4,2.00,7.00,1,1,2881,1,,,0,4,1,1,1,0.00,0.00,0.00,0.00,,,,2,2,3,,2,,,1,6,,0,1,0,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,1,1,1,1,2,,2936,1,2,,,1,2,,,1,2,,3,,,,,2,338,338,338,0,0,0,0,0,1,0,1,0,1,1,1,0,0,0,0,1,1,1,338,338,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,338,338,338,2,1,,0.00,0.00,0.00,0.00,11,1,054-05,2,1,2,1,10,,,1,3009,12,13,2,1,,1,1,1,0,1,1,0,1,1,0,1,1,1,0,1,1,0,0,1,1,1,,,2,2,1,
