New_ID,Age,Sex,Date,Province,District,Tehsil,Latitude,Longitude,Total,Urban,Rural,Accommodation,StagnantWater,RiceLost,RiceLostAcre,PulseLost,PulseLostAcre,CottonLost,CottonLostAcre,SugarLost,SugarLostAcre,MaizeLost,MaizeLostAcre,VegetablesLost,VegetablesLostAcre,FodderLost,FodderLostAcre,FisheryLost,FisherLostAcre,HoneyLost,HoneyLostAcre,FarmLost,FarmLostAcre,FruitLost,FruitLostAcre
1817,,,1092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,,,,,,,,,,,,,,,,,,,,,,,
1825,,,2092007,Sindh,Shikar Pur,Khanpur,28.0025,68.722777777778,87243,,,,,,,,,,,,,,,,,,,,,,,,,,
1866,18,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1861,22,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1865,24,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1862,25,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,25,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1864,25,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1869,25,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1868,30,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1872,30,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1871,37,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1870,40,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1867,56,Female,30082010,Sindh,Sukkur,Not in list,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
